NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_mop_hexamer.top
# Author: tfobe
# Date: Tuesday, 15. November 2022
# Time: 03:40PM
# System: Linux-5.14.0-1054-oem-x86_64-with-glibc2.31
h112 -0.06602    1.4842  -0.06602    1.4842
h113 -0.06532   1.44381  -0.06532   1.44381
h114 -0.06532   1.44381  -0.06532   1.44381
c133 -0.45539    1.8967  -0.45539    1.8967
o13  -0.70486   1.69778  -0.70486   1.69778
h115 -0.06866   1.44979  -0.06866   1.44979
h116 -0.06866   1.44979  -0.06866   1.44979
h117 -0.06866   1.44979  -0.06866   1.44979
c134 -0.45539    1.8967  -0.45539    1.8967
c135 -0.45539    1.8967  -0.45539    1.8967
c136 -0.45539    1.8967  -0.45539    1.8967
c137 -0.45539    1.8967  -0.45539    1.8967
o14  -0.70486   1.69778  -0.70486   1.69778
c138 -0.3635   1.95345   -0.3635   1.95345
o15  -0.8795   1.70604   -0.8795   1.70604
h118 -0.06602    1.4842  -0.06602    1.4842
h119 -0.06602    1.4842  -0.06602    1.4842
h120 -0.06602    1.4842  -0.06602    1.4842
h121 -0.06602    1.4842  -0.06602    1.4842
h122 -0.06602    1.4842  -0.06602    1.4842
h123 -0.06602    1.4842  -0.06602    1.4842
h124 -0.06602    1.4842  -0.06602    1.4842
h125 -0.06602    1.4842  -0.06602    1.4842
h126 -0.06602    1.4842  -0.06602    1.4842
