NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_pmp_octamer.top
# Author: tfobe
# Date: Thursday, 30. June 2022
# Time: 06:55PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
c157 -0.3635   1.95345   -0.3635   1.95345
c158 -0.3635   1.95345   -0.3635   1.95345
c159 -0.45539    1.8967  -0.45539    1.8967
n8   -0.70162    1.7998  -0.70162    1.7998
c160 -0.3635   1.95345   -0.3635   1.95345
o8   -0.8795   1.70604   -0.8795   1.70604
c161 -0.3635   1.95345   -0.3635   1.95345
o9   -0.8795   1.70604   -0.8795   1.70604
o10  -0.70486   1.69778  -0.70486   1.69778
c162 -0.45539    1.8967  -0.45539    1.8967
c163 -0.45539    1.8967  -0.45539    1.8967
c164 -0.45539    1.8967  -0.45539    1.8967
c165 -0.45539    1.8967  -0.45539    1.8967
o11  -0.70486   1.69778  -0.70486   1.69778
c166 -0.45539    1.8967  -0.45539    1.8967
h1   -0.06532   1.44381  -0.06532   1.44381
o12  -0.70486   1.69778  -0.70486   1.69778
h2   -0.06532   1.44381  -0.06532   1.44381
h3   -0.06532   1.44381  -0.06532   1.44381
h4   -0.06532   1.44381  -0.06532   1.44381
h5   -0.06532   1.44381  -0.06532   1.44381
h6   -0.06532   1.44381  -0.06532   1.44381
h7   -0.06532   1.44381  -0.06532   1.44381
h8   -0.06532   1.44381  -0.06532   1.44381
h9   -0.06532   1.44381  -0.06532   1.44381
h10  -0.06532   1.44381  -0.06532   1.44381
h11  -0.06532   1.44381  -0.06532   1.44381
h12  -0.06866   1.44979  -0.06866   1.44979
c167 -0.45539    1.8967  -0.45539    1.8967
h13  -0.05896   0.61928  -0.05896   0.61928
h14  -0.06532   1.44381  -0.06532   1.44381
o13  -0.70486   1.69778  -0.70486   1.69778
h15  -0.06532   1.44381  -0.06532   1.44381
h16  -0.06532   1.44381  -0.06532   1.44381
h17  -0.06532   1.44381  -0.06532   1.44381
h18  -0.06532   1.44381  -0.06532   1.44381
h19  -0.06532   1.44381  -0.06532   1.44381
h20  -0.06532   1.44381  -0.06532   1.44381
h21  -0.06532   1.44381  -0.06532   1.44381
h22  -0.06532   1.44381  -0.06532   1.44381
h23  -0.06532   1.44381  -0.06532   1.44381
h24  -0.06532   1.44381  -0.06532   1.44381
h25  -0.06866   1.44979  -0.06866   1.44979
c168 -0.45539    1.8967  -0.45539    1.8967
h26  -0.05896   0.61928  -0.05896   0.61928
h27  -0.06532   1.44381  -0.06532   1.44381
o14  -0.70486   1.69778  -0.70486   1.69778
h28  -0.06532   1.44381  -0.06532   1.44381
h29  -0.06532   1.44381  -0.06532   1.44381
h30  -0.06532   1.44381  -0.06532   1.44381
h31  -0.06532   1.44381  -0.06532   1.44381
h32  -0.06532   1.44381  -0.06532   1.44381
h33  -0.06532   1.44381  -0.06532   1.44381
h34  -0.06532   1.44381  -0.06532   1.44381
h35  -0.06532   1.44381  -0.06532   1.44381
h36  -0.06532   1.44381  -0.06532   1.44381
h37  -0.06532   1.44381  -0.06532   1.44381
c169 -0.45539    1.8967  -0.45539    1.8967
h38  -0.06866   1.44979  -0.06866   1.44979
h39  -0.05896   0.61928  -0.05896   0.61928
h40  -0.06532   1.44381  -0.06532   1.44381
o15  -0.70486   1.69778  -0.70486   1.69778
h41  -0.06532   1.44381  -0.06532   1.44381
h42  -0.06532   1.44381  -0.06532   1.44381
h43  -0.06532   1.44381  -0.06532   1.44381
h44  -0.06532   1.44381  -0.06532   1.44381
h45  -0.06532   1.44381  -0.06532   1.44381
h46  -0.06532   1.44381  -0.06532   1.44381
h47  -0.06532   1.44381  -0.06532   1.44381
h48  -0.06532   1.44381  -0.06532   1.44381
h49  -0.06532   1.44381  -0.06532   1.44381
h50  -0.06532   1.44381  -0.06532   1.44381
h51  -0.06866   1.44979  -0.06866   1.44979
h52  -0.06866   1.44979  -0.06866   1.44979
h53  -0.05896   0.61928  -0.05896   0.61928
h54  -0.06532   1.44381  -0.06532   1.44381
o16  -0.70486   1.69778  -0.70486   1.69778
